dataset.uniprotswissprot	dataset.ensembl_gene_id	t0_1	t0_2	t0_3
P19880	YML007W	1.27E-07	1.42E-07	9.92E-08
P19881	YDL236W	1.13E-06	1.19E-06	1.16E-06
P19882	YLR259C	1.35E-05	1.43E-05	1.37E-05
P19955	YFR049W	1.10E-06	1.27E-06	1.29E-06
P19956	YMR225C	1.06E-06	1.05E-06	1.17E-06
P20049	YBR166C	1.08E-07	1.05E-07	1.13E-07
P20051	YLR420W	1.25E-06	1.35E-06	1.37E-06
P20081	YNL135C	1.84E-05	1.75E-05	1.92E-05
P20084	YMR286W	1.39E-06	1.41E-06	1.64E-06
P20424	YPR088C	3.81E-07	3.80E-07	3.53E-07
P20433	YJL140W	6.05E-07	5.09E-07	6.36E-07
P20434	YBR154C	2.86E-06	2.74E-06	2.75E-06
P20435	YPR187W	4.41E-06	4.72E-06	5.05E-06
P20436	YOR224C	1.20E-06	1.25E-06	1.13E-06
P20447	YGL078C	1.35E-06	1.22E-06	1.22E-06
P20448	YJL033W	2.17E-07	2.19E-07	2.28E-07
P20449	YOR046C	1.93E-06	1.84E-06	1.85E-06
P20459	YJR007W	4.31E-06	4.24E-06	4.42E-06
P20484	YKL021C	5.33E-07	5.57E-07	5.35E-07
P20485	YLR133W	2.24E-07	2.04E-07	2.02E-07
P20604	YDL047W	0	5.39E-08	7.03E-08
P20606	YPL218W	1.17E-06	1.33E-06	1.16E-06
P20676	YOR098C	2.61E-08	2.12E-08	2.15E-08
P20795	YLR396C	0	2.89E-08	0
P20967	YIL125W	1.92E-06	1.89E-06	2.00E-06
P21147	YGL055W	1.19E-06	1.21E-06	1.22E-06
P21182	YOL052C	3.35E-07	3.29E-07	3.07E-07
P21242	YOR362C	5.48E-06	5.73E-06	5.81E-06
P21243	YGL011C	4.49E-06	4.88E-06	5.08E-06
P21264	YOR128C	4.73E-06	4.83E-06	5.07E-06
P21304	YLR196W	1.28E-06	1.34E-06	1.38E-06
P21306	YPL271W	4.93E-06	4.16E-06	5.42E-06
P21375	YJR051W	1.30E-08	7.78E-09	1.12E-08
P21524	YER070W	7.65E-07	9.65E-07	9.07E-07
P21538	YBR049C	1.77E-07	1.76E-07	1.65E-07
P21560	YPL215W	4.68E-07	4.89E-07	5.25E-07
P21576	YKR001C	1.22E-06	1.24E-06	1.19E-06
P21592	YPL172C	7.00E-09	0	0
P21734	YDR177W	3.71E-06	4.01E-06	4.01E-06
P21771	YDR337W	5.87E-07	5.86E-07	6.26E-07
P21801	YLL041C	8.28E-07	8.70E-07	8.87E-07
P21825	YPL094C	4.59E-07	3.24E-07	3.51E-07
P21827	YGL097W	1.14E-06	1.07E-06	9.99E-07
P21954	YDL066W	8.59E-06	8.38E-06	8.47E-06
P21957	YHL020C	2.01E-08	2.60E-08	2.37E-08
P21965	YNL307C	1.57E-06	1.53E-06	1.50E-06
P22023	YOR336W	0	4.09E-09	2.01E-09
P22082	YOR290C	4.51E-08	0	7.78E-09
P22133	YOL126C	1.30E-07	1.40E-07	1.47E-07
P22134	YER142C	4.69E-08	4.48E-08	3.45E-08
P22135	YJL180C	9.21E-08	1.04E-07	1.17E-07
P22137	YGL206C	9.45E-07	8.53E-07	9.35E-07
P22138	YPR010C	6.80E-07	6.46E-07	6.66E-07
P22139	YOR210W	3.00E-06	3.01E-06	2.69E-06
P22141	YER012W	4.64E-06	4.66E-06	5.16E-06
P22146	YMR307W	2.19E-06	2.16E-06	2.31E-06
P22147	YGL173C	6.17E-07	6.28E-07	5.92E-07
P22202	YER103W	6.52E-07	7.38E-07	7.02E-07
P22203	YOR332W	1.17E-05	1.22E-05	1.21E-05
P22204	YGR092W	3.04E-08	0	0
P22211	YNL183C	1.06E-07	9.98E-08	9.26E-08
P22213	YDR189W	1.87E-07	1.77E-07	1.86E-07
P22214	YLR268W	4.07E-07	3.97E-07	4.88E-07
P22217	YLR043C	8.80E-06	8.28E-06	8.66E-06
P22224	YGL233W	6.68E-09	9.56E-09	6.61E-09
P22276	YOR207C	6.28E-08	4.86E-08	5.07E-08
P22289	YGR183C	3.42E-06	4.34E-06	3.45E-06
P22336	YAR007C	6.03E-07	6.61E-07	6.79E-07
